runs_test_p_value,longest_run_ones_in_a_block_p_value,binary_matrix_rank_p_value,non_overlapping_template_matching_p_value,maurers_universal_p_value,serial_test_p_value_1,serial_test_p_value_2,approximate_entropy_p_value,cumulative_sums_p_value_1,cumulative_sums_p_value_2,random_excursions_p_value_1,random_excursions_p_value_2,random_excursions_p_value_3,random_excursions_p_value_4,random_excursions_p_value_5,random_excursions_p_value_6,random_excursions_p_value_7,random_excursions_p_value_8,random_excursions_variant_p_value_1,random_excursions_variant_p_value_2,random_excursions_variant_p_value_3,random_excursions_variant_p_value_4,random_excursions_variant_p_value_5,random_excursions_variant_p_value_6,random_excursions_variant_p_value_7,random_excursions_variant_p_value_8,random_excursions_variant_p_value_9,random_excursions_variant_p_value_10,random_excursions_variant_p_value_11,random_excursions_variant_p_value_12,random_excursions_variant_p_value_13,random_excursions_variant_p_value_14,random_excursions_variant_p_value_15,random_excursions_variant_p_value_16,random_excursions_variant_p_value_17,random_excursions_variant_p_value_18,byte_entropy_between_packets,bit_entropy_between_packets,byte_entropy,intra_packet_bit_entropy,ciphertext_length_bytes,ciphertext_length_mod_8,ciphertext_length_mod_16,ciphertext_length_mod_32,unique_byte_count,zero_byte_ratio,printable_byte_ratio,bit_one_ratio,bit_zero_ratio,unique_16byte_block_count,repeated_16byte_block_ratio,compression_ratio,label
0.741408,0.521421,0.570288,1.0,0.170443,0.0,0.775215,7.3305,0.707757,0.523146,0.403508,0.477425,0.631058,0.933609,0.256333,0.415108,0.0,0.160377,1.0,0.50439,0.383656,0.194869,0.943616,1.0,0.404632,0.604574,1.0,0.845414,0.004013,0.116852,0.428044,0.074229,0.797291,0.425888,0.0,0.280666,6.849,6.8764,6.8686,7.0249,128,0,0,0,116,0.004343,0.390932,0.512768,0.487232,6,0.25,0.996998,RSA
0.447938,0.925764,0.335807,0.72937,0.577526,0.741202,0.906334,7.6256,0.382476,0.407489,0.497346,0.348257,0.0,1.0,0.28413,0.234882,0.297186,0.008513,0.554019,0.313611,0.767365,0.570579,0.497792,0.718405,1.0,0.311829,0.352659,0.908859,0.010192,0.912216,0.300056,0.578167,0.527889,0.892224,0.489259,0.903165,7.9541,7.6149,7.9194,8.0,134,6,6,6,44,0.004217,0.250717,0.50677,0.49323,8,0.0,0.999677,RC4
0.28502,0.357248,0.251534,0.335352,0.516729,0.888115,0.929612,7.6317,0.973356,0.917424,0.522737,0.023844,0.390244,0.723965,0.532757,0.539596,0.439312,0.064576,1.0,0.433663,0.382596,0.513363,0.12704,0.125555,0.327081,0.510704,0.399103,0.642559,1.0,0.33112,0.861724,0.327901,0.379102,0.530104,0.0,1.0,7.822,7.5936,7.7778,8.0,24,0,8,24,21,0.00734,0.223585,0.489849,0.510151,1,0.0,0.987884,RC4
0.338657,1.0,0.204472,0.502525,0.0,0.273452,0.483567,7.2378,0.863393,0.385873,0.042482,0.546512,0.565436,0.557331,0.175908,0.762683,0.428127,0.623944,0.807703,0.594967,0.491685,1.0,0.477985,0.305291,0.435829,0.874486,0.437988,0.566201,0.782634,0.235885,0.0,0.495815,0.473515,0.205437,0.678748,0.594422,6.8012,7.1644,6.9929,6.6841,2040,0,8,24,256,0.001764,0.376147,0.509762,0.490238,113,0.110236,0.978449,DES
0.625645,0.652233,0.0,0.646943,1.0,0.756903,0.586927,7.2743,0.276972,0.184163,0.636585,0.512701,0.5051,0.272388,0.204435,0.69705,0.941191,0.0,0.510406,0.517505,0.0,0.95008,0.555622,0.252107,0.334682,0.025992,0.594994,0.053476,0.299518,0.516829,0.521691,0.605414,0.49016,0.390494,0.461311,0.5916,6.8271,7.4383,7.2794,7.344,66,2,2,2,21,0.004672,0.334853,0.536218,0.463782,4,0.0,1.00648,ECC
0.880015,0.326245,0.397338,0.435285,0.900323,0.717943,0.216019,7.1166,0.446799,0.970085,0.378239,0.718504,0.803419,0.828238,0.0,0.681559,0.521518,0.462261,0.172596,0.187085,0.811637,0.720889,0.304202,0.473497,0.407396,0.581251,0.489705,0.750126,0.097663,0.636446,0.172839,1.0,0.622174,0.100869,0.272885,0.114956,7.3021,7.1533,7.3356,7.0696,128,0,0,0,127,0.00174,0.336914,0.474848,0.525152,6,0.25,0.970533,RSA
0.409985,0.59354,0.667655,0.555959,0.287519,0.248756,0.816636,8.0,1.0,1.0,0.742388,0.829376,0.511806,0.291613,1.0,0.989306,0.548558,0.467601,0.833875,0.653866,0.349313,0.514127,0.829936,0.661862,1.0,0.326872,0.827931,0.658362,0.446528,0.262549,0.405796,0.854705,1.0,0.121946,0.598129,0.02986,7.9719,8.0,8.0,7.8175,6976,0,0,0,256,0.004625,0.299558,0.484279,0.515721,401,0.080275,0.961444,ChaCha20
0.809887,0.927074,0.548019,0.647274,0.436009,0.630547,0.802128,7.8509,0.817101,0.142645,0.662176,0.961936,0.437697,0.720327,0.990403,0.781977,0.422896,0.840107,0.393614,0.164832,0.571131,0.651625,0.739307,0.464217,0.0,0.252479,0.927167,0.680194,0.351518,0.962256,0.0,0.880244,1.0,0.956036,0.627698,0.670058,7.6924,8.0,8.0,7.6171,15616,0,0,0,256,0.0,0.401015,0.52455,0.47545,860,0.118852,0.976658,ChaCha20
0.229681,0.583416,0.422004,0.943011,0.446274,0.545295,0.475652,7.7584,0.598188,0.445417,0.368484,0.492642,0.706847,0.415984,0.708647,1.0,0.427188,0.46304,0.249673,0.734177,0.156882,0.568838,0.995067,0.498119,0.48931,0.428332,0.420997,0.302237,1.0,0.941113,0.620462,0.81457,0.649118,0.467661,1.0,0.805742,7.6458,7.6958,7.4792,8.0,9677,5,13,13,256,0.002631,0.366658,0.48386,0.51614,526,0.129139,0.95095,ChaCha20
0.621863,1.0,0.411951,0.2144,0.0,0.291392,0.632187,7.8487,0.17184,0.598643,0.283789,0.428318,0.53034,0.206642,0.763025,0.0,0.0,0.800681,0.359009,0.576918,0.724439,0.277549,0.526197,0.0,0.434124,1.0,0.306543,0.540723,0.093775,0.689149,0.545522,0.78112,0.613016,0.445984,0.686319,0.75145,7.8555,7.8964,7.5749,7.8697,123,3,11,27,37,0.004839,0.400292,0.521896,0.478104,7,0.0,0.975087,RC4
0.867574,0.149659,0.526163,0.572277,0.250433,0.95288,0.999633,7.4468,0.115303,0.79247,0.159093,0.433409,0.588866,0.757555,0.483024,0.578566,0.31698,0.937708,0.401406,0.65192,0.396509,0.581897,0.499551,0.501261,0.245866,0.788924,0.974213,0.622944,0.769701,0.80142,0.828396,0.641007,0.613677,0.809202,0.57065,0.257824,7.9257,7.4668,7.9186,8.0,128,0,0,0,76,0.004182,0.368606,0.505528,0.494472,6,0.25,0.98848,AES
0.519045,0.557824,0.589705,0.627437,0.312636,0.161914,0.593003,7.8046,0.519269,0.319198,0.110819,0.18922,0.917347,0.86577,0.639988,0.468451,0.756058,0.541675,0.166807,0.0,0.121392,0.787425,0.908132,0.711183,0.403045,0.400274,0.582311,0.0,0.376937,0.410103,1.0,0.446887,0.318043,0.759926,0.255189,0.75883,7.1866,7.8325,7.4898,7.3382,1995,3,11,11,256,0.0,0.382078,0.515498,0.484502,122,0.016129,0.986584,3DES
0.0,0.62686,0.271422,0.349904,0.520491,1.0,0.438651,7.6184,0.501205,0.097331,0.361961,0.25554,0.225318,0.50983,0.210666,0.52268,0.486829,0.750747,0.0,0.137285,0.148937,0.371635,0.583397,0.714791,0.17167,0.718852,0.521417,0.851834,0.41973,0.171634,0.757281,0.527984,0.309036,0.630832,0.346892,0.244927,7.152,7.2874,7.6634,7.3536,64,0,0,0,60,0.00154,0.362261,0.5039,0.4961,4,0.0,1.021731,ECC
0.443775,0.0,0.400986,0.279834,0.461006,0.215177,0.008355,6.9836,0.0,0.0,0.617248,0.239829,0.300341,0.694739,0.435235,0.314248,0.586019,0.511174,0.272613,1.0,0.12267,0.059647,0.521443,0.511152,0.399357,0.847946,0.017962,1.0,0.469778,1.0,0.571461,0.559706,0.047682,0.502439,0.406402,0.305578,7.4195,6.6569,7.3559,7.2925,512,0,0,0,185,0.004472,0.301715,0.514102,0.485898,31,0.03125,0.980864,RSA
0.382248,0.899773,0.152485,0.217398,0.707299,0.455992,0.623336,8.0,0.618805,0.669508,0.538911,0.529645,0.149395,0.639121,0.466055,0.723407,0.399273,0.08455,0.096074,0.645965,0.973402,0.285059,0.218413,0.218193,0.799034,0.396469,0.117448,0.404247,0.975461,0.224538,0.677399,0.595776,0.349253,0.970911,0.302944,0.419179,8.0,8.0,7.5817,7.2145,132,4,4,4,89,0.004749,0.356905,0.483942,0.516058,7,0.125,0.997308,RC4
